Wall time,Step,Value
1779109433.541511,3137,10299.0
1779109437.5908003,5247,9357.0
1779109441.5616145,7354,7406.0
1779109451.2213464,9567,7442.39990234375
1779109469.6678982,12983,7883.83349609375
1779109486.718931,16131,8112.75
1779109500.676166,18725,8166.4443359375
1779109517.150169,21770,8061.5
1779109530.4275596,24235,8124.25
1779109544.4476867,26815,7935.0
1779109560.904713,29822,8151.0712890625
1779109571.8913038,31838,8005.5625
1779109582.7554753,33842,7800.41162109375
1779109599.7562158,36965,7921.4443359375
1779109615.3853195,39821,8008.7001953125
1779109629.8031175,42438,8033.47607421875
1779109648.2216265,45779,8089.13623046875
1779109664.6506283,48737,8168.70849609375
1779109679.5001242,51463,8143.27978515625
1779109685.2462769,52498,7990.115234375
1779109700.115149,55192,7931.03564453125
1779109714.6003263,57812,7925.93115234375
1779109735.4138775,61550,8027.2666015625
1779109753.0692737,64723,8137.0
1779109775.003339,68662,8237.36328125
1779109794.7064826,72189,8337.3828125
1779109808.2712812,74627,8338.5830078125
1779109824.168094,77451,8327.6220703125
1779109827.9958367,78150,8225.6845703125
1779109841.9002945,80615,8108.2998046875
1779109851.3916087,82302,7957.0244140625
1779109866.888778,85042,8045.3095703125
1779109879.3864715,87254,7978.431640625
1779109896.9408677,90346,8002.13330078125
1779109906.1783423,91988,7969.86962890625
1779109926.0371542,95482,8002.95849609375
1779109946.2814288,99049,8011.69384765625
1779109951.3689322,99941,7988.43994140625
1779109959.0223782,101279,7836.65380859375
1779109974.7476783,104029,7870.830078125
1779109993.441545,107304,7884.0556640625
1779110009.8022563,110143,7913.25
1779110020.3135931,111983,7865.19287109375
1779110037.6262088,115018,7887.82763671875
1779110046.1329765,116507,7812.7666015625
1779110058.883779,118732,7775.50830078125
1779110069.2147732,120543,7727.38720703125
1779110076.9867425,121894,7663.859375
1779110090.924902,124327,7630.9384765625
1779110102.9505606,126400,7604.37890625
1779110115.264018,128539,7606.2939453125
1779110126.6403148,130504,7545.8984375
1779110134.4104507,131845,7538.54296875
1779110140.0234196,132803,7422.763671875
1779110155.1484733,135399,7407.28759765625
1779110171.8926542,138274,7434.10791015625
1779110180.2778852,139692,7397.3291015625
1779110201.6740654,143356,7435.5322265625
1779110214.4830213,145542,7417.1796875
1779110235.0198843,149045,7497.4873046875
1779110243.015002,150418,7439.46923828125
1779110246.7736497,151056,7390.90234375
1779110258.51755,153042,7332.83349609375
1779110279.280591,156580,7381.2939453125
1779110301.6137161,160329,7433.220703125
1779110318.613316,163202,7463.5
1779110337.45414,166373,7491.71923828125
1779110346.390773,167885,7462.033203125
1779110350.2091496,168524,7372.13037109375
1779110360.2791781,170212,7343.171875
1779110370.7774086,171980,7306.63818359375
1779110394.9863858,176006,7378.65625
1779110403.896137,177499,7339.06201171875
1779110418.1732166,179874,7357.28564453125
1779110430.7383764,181973,7324.080078125
1779110443.268352,184081,7286.0400390625
1779110464.8432624,187664,7292.080078125
1779110481.4826999,190418,7367.39013671875
1779110494.5194752,192586,7347.14990234375
1779110513.8656654,195778,7343.33984375
1779110527.1342626,197987,7319.490234375
1779110548.7929063,201543,7329.75
1779110562.4783518,203795,7315.58984375
1779110575.7617762,205983,7315.33984375
1779110594.7459493,209074,7346.35009765625
1779110609.0364285,211414,7295.3701171875
1779110622.6947005,213644,7317.7998046875
1779110633.9587774,215503,7300.89013671875
1779110656.0535197,219104,7318.56005859375
1779110676.180394,222374,7347.7900390625
1779110686.0050237,223988,7313.47998046875
1779110706.7940495,227395,7290.68994140625
1779110722.4802961,229926,7292.66015625
1779110739.775217,232728,7304.93994140625
1779110761.5490694,236256,7366.68994140625
1779110780.9943206,239385,7412.60009765625
1779110795.3054154,241670,7383.3701171875
1779110810.9558067,244200,7345.06982421875
1779110822.7223349,246097,7299.66015625
1779110840.0803416,248871,7250.4599609375
1779110857.8000958,251724,7241.18017578125
1779110876.963011,254781,7250.81005859375
1779110897.924132,258121,7280.39013671875
1779110917.1751678,261195,7344.580078125
1779110932.6008348,263651,7365.93994140625
1779110952.9448934,266879,7442.9599609375
1779110974.6274874,270303,7425.31982421875
1779110998.3414469,274033,7515.47998046875
1779111023.6981206,278026,7542.14990234375
1779111030.7196112,279144,7529.740234375
1779111042.8063285,281038,7466.2900390625
1779111057.609887,283387,7448.7900390625
1779111068.6147637,285131,7435.7998046875
1779111079.9726312,286921,7469.990234375
1779111103.8314128,290662,7488.02001953125
1779111121.2325106,293373,7470.64013671875
1779111138.295067,296026,7479.81982421875
1779111160.2332084,299442,7526.52978515625
1779111183.0769215,302978,7552.830078125
1779111202.4813402,305973,7623.509765625
1779111222.5483472,309073,7656.97021484375
1779111232.6208375,310624,7652.85986328125
1779111256.3225324,314279,7740.75
1779111271.4870732,316616,7755.93017578125
1779111285.3584516,318737,7795.72021484375
1779111307.4862082,322124,7789.1201171875
1779111323.8375921,324627,7831.27978515625
1779111334.5639472,326256,7817.490234375
1779111351.7321072,328888,7889.68017578125
1779111369.5635293,331612,7901.14990234375
1779111384.561829,333888,7922.43994140625
1779111402.8613818,336658,7924.9501953125
1779111428.4117708,340535,7945.2998046875
1779111435.101673,341550,7930.47021484375
1779111447.4142685,343416,7821.0400390625
1779111466.2121263,346256,7882.33984375
1779111484.330329,349008,7910.31982421875
1779111495.3595002,350676,7951.759765625
1779111515.0582867,353635,7917.5498046875
1779111526.6702313,355388,7867.81005859375
1779111545.693969,358245,7848.0400390625
1779111559.9384608,360389,7821.1298828125
1779111568.719005,361700,7791.4599609375
1779111586.5699766,364356,7879.68017578125
1779111609.1874526,367738,7918.669921875
1779111618.366696,369105,7931.330078125
1779111625.915425,370230,7815.47021484375
1779111642.3216562,372682,7834.830078125
1779111666.7290256,376327,7857.009765625
1779111678.8469288,378128,7892.47998046875
1779111703.5970504,381791,7929.2001953125
1779111728.123185,385436,7960.83984375
1779111742.2970994,387539,7931.31982421875
1779111762.3599174,390504,7954.9501953125
1779111771.9789586,391928,7906.72021484375
1779111800.391966,396096,7970.7001953125
1779111824.1917534,399606,7930.06982421875
1779111841.4522843,402154,7960.8701171875
1779111843.7944126,402497,7907.0400390625
1779111857.4527812,404504,7878.169921875
1779111873.2098815,406822,7898.43994140625
1779111897.2694767,410342,7914.18017578125
1779111915.8236048,413054,7969.18017578125
1779111927.6610222,414796,7907.72998046875
1779111950.8667736,418188,7878.89013671875
1779111973.4173841,421490,7915.58984375
1779111998.476584,425156,7976.27978515625
1779112018.8184958,428137,7975.06005859375
1779112044.0222366,431834,7976.83984375
1779112071.4140463,435842,8025.509765625
1779112087.2473156,438169,7998.0498046875
1779112095.4273317,439367,7987.43994140625
1779112118.3102088,442738,7985.5498046875
1779112134.3092813,445079,8005.93994140625
1779112147.8635857,447077,8014.8701171875
1779112174.7602975,451032,7975.4501953125
1779112199.0104008,454584,8038.77978515625
1779112219.3289206,457573,8023.14013671875
1779112232.190572,459461,7978.27001953125
1779112257.6171157,463177,8028.16015625
1779112287.9974685,467616,8057.27001953125
1779112296.972888,468942,8019.89990234375
1779112311.2024887,471022,7926.81982421875
1779112339.1631186,475124,7933.4599609375
1779112353.4758792,477224,7939.97021484375
1779112370.794329,479767,7996.830078125
1779112390.795917,482687,7990.7998046875
1779112414.9966614,486208,8056.72998046875
1779112426.4848313,487899,8086.740234375
1779112444.684766,490567,8026.419921875
1779112464.3266065,493450,8021.68017578125
1779112484.8117476,496460,8064.89013671875
1779112507.1430938,499695,8039.25
1779112524.078534,502181,8027.97998046875
1779112534.420457,503697,7956.0400390625
1779112556.5584965,506948,7974.18994140625
1779112565.8539262,508309,7961.93994140625
1779112580.3462503,510451,7893.2998046875
1779112595.9190953,512734,7859.240234375
1779112620.0123954,516277,7911.77978515625
1779112636.676267,518732,7910.5
1779112651.730329,520939,7869.81005859375
1779112660.3530474,522196,7895.52978515625
1779112686.7237039,526058,7933.0
1779112715.1866853,530206,7976.27001953125
1779112736.725998,533366,7983.7099609375
1779112756.523999,536257,8029.9501953125
1779112772.7011485,538656,7964.56005859375
1779112794.9603562,541909,7984.06005859375
1779112806.887609,543683,8056.64013671875
1779112838.9793818,548362,8118.77978515625
1779112857.1648674,551012,8098.06982421875
1779112876.560875,553848,8172.81005859375
1779112898.4888887,557044,8171.27978515625
1779112917.7301354,559880,8242.0595703125
1779112930.5280378,561776,8187.08984375
1779112949.3790758,564522,8169.64013671875
1779112972.9301436,567969,8288.169921875
1779112986.715785,569993,8271.7900390625
1779113018.2786512,574598,8318.490234375
1779113031.6610186,576555,8358.4599609375
1779113050.5359206,579323,8409.849609375
1779113066.2626898,581624,8400.1796875
1779113090.0104916,585089,8372.8701171875
1779113103.5775688,587070,8404.240234375
1779113117.2562547,589090,8360.7802734375
1779113139.8874276,592417,8328.91015625
1779113152.6591194,594275,8315.7197265625
1779113172.5117085,597195,8298.5302734375
1779113197.9029603,600911,8385.650390625
1779113208.9137356,602523,8302.98046875
1779113234.4137025,606264,8355.419921875
1779113257.5773232,609647,8371.2197265625
1779113289.1570659,614244,8515.6396484375
1779113310.1921797,617319,8529.2099609375
1779113336.2864199,621129,8596.0400390625
1779113363.043343,625028,8633.509765625
1779113399.8313982,630422,8737.8203125
1779113424.233724,633979,8784.6796875
1779113445.3354857,637077,8801.6298828125
1779113461.0194244,639380,8757.33984375
1779113494.1457074,644223,8770.5703125
1779113518.894812,647860,8834.6904296875
1779113533.544634,650014,8809.8896484375
1779113543.2755222,651447,8681.2900390625
1779113550.2051766,652459,8617.5400390625
1779113567.381875,654975,8635.150390625
1779113592.1437585,658603,8683.9599609375
1779113604.806239,660464,8661.6904296875
1779113623.0935,663150,8680.5302734375
1779113643.8101017,666193,8681.98046875
1779113648.7146258,666913,8539.400390625
1779113665.3429346,669354,8500.8701171875
1779113695.0925622,673694,8542.4697265625
1779113726.2515028,678236,8648.2001953125
1779113746.585012,681226,8632.5595703125
1779113763.5826466,683706,8585.08984375
1779113799.8427174,688993,8765.0595703125
1779113822.2230897,692266,8728.7099609375
1779113847.464077,695958,8790.580078125
1779113871.947151,699546,8837.25
1779113898.5814128,703426,8884.5595703125
1779113919.6819842,706519,8865.009765625
1779113930.5795853,708121,8854.7900390625
1779113943.3668613,710001,8854.4697265625
1779113961.0141606,712592,8891.7099609375
1779113984.4802969,716018,8828.099609375
1779114017.5063813,720852,8858.48046875
1779114047.631624,725242,8966.26953125
1779114075.167286,729267,9031.0703125
1779114093.0095196,731881,9067.08984375
1779114115.2162907,735136,9126.4404296875
1779114139.978386,738762,9153.2099609375
1779114146.6766028,739761,9183.259765625
1779114167.1979034,742753,9136.349609375
1779114186.9428365,745633,9146.48046875
1779114209.426909,748930,9219.650390625
1779114217.7962508,750162,9155.16015625
1779114235.9219553,752816,9176.8603515625
1779114250.1683087,754912,9083.7001953125
1779114265.1649728,757119,9007.08984375
1779114286.7807057,760289,9012.5
1779114309.848592,763674,9085.4296875
1779114327.390788,766252,9107.8896484375
1779114344.368875,768745,9035.33984375
1779114371.7565548,772743,9058.4599609375
1779114401.865372,777156,9149.33984375
1779114418.018857,779526,9060.2900390625
1779114430.8442783,781418,9071.48046875
1779114456.235624,785107,9034.150390625
1779114469.796055,787094,9042.349609375
1779114489.6017137,790005,9121.1396484375
1779114517.2899766,794064,9114.3603515625
1779114519.968335,794459,9071.240234375
1779114530.5104508,796020,8955.8095703125
1779114551.072345,799007,8925.400390625
1779114575.3215566,802549,8970.349609375
1779114600.3610246,806214,9077.8798828125
1779114611.2276068,807814,9017.2900390625
1779114623.0686429,809559,8961.6796875
1779114630.4679043,810646,8931.669921875
1779114656.4858613,814469,8967.580078125
1779114679.5099623,817833,8979.3603515625
1779114694.6104276,820051,9015.669921875
1779114714.8984323,823031,8935.3095703125
1779114744.7346125,827375,8991.669921875
1779114765.962261,830476,9057.25
1779114785.0441685,833286,9003.9501953125
1779114806.0506742,836354,8969.1904296875
1779114831.2443209,840017,9005.669921875
1779114845.0989037,842039,8919.419921875
1779114869.3170133,845597,8948.009765625
1779114892.1425712,848929,8815.3896484375
1779114907.1897516,851143,8778.8603515625
1779114935.2226677,855249,8777.08984375
1779114956.1617634,858327,8853.83984375
1779114980.091864,861830,8793.5595703125
1779115004.8983643,865444,8808.0302734375
1779115013.9941714,866796,8740.1904296875
1779115034.5254016,869821,8789.759765625
1779115043.5992353,871156,8780.1396484375
1779115052.0450034,872391,8788.66015625
1779115078.3298986,876252,8788.8603515625
1779115097.422892,879033,8764.2001953125
1779115118.538692,882122,8820.400390625
1779115135.721049,884645,8834.1396484375
1779115152.6240594,887113,8814.400390625
1779115165.0793371,888919,8872.7998046875
1779115185.1757529,891862,8856.1904296875
1779115195.781179,893415,8758.83984375
