Wall time,Step,Value
1777759597.1448393,2280,1880.0
1777759607.6582139,4550,1950.0
1777759612.7075188,5645,1275.0
1777759631.9725928,8573,1264.0
1777759662.9223022,11093,1296.6666259765625
1777759679.55937,12500,1257.5
1777759715.1921487,15448,1408.888916015625
1777759740.756852,17550,1412.0
1777759777.1239767,20565,1488.3333740234375
1777759822.588947,24311,1470.769287109375
1777759843.2274914,27303,1802.857177734375
1777759858.1935818,29587,1780.0
1777759875.1710074,32173,1740.0
1777759895.6702933,35291,1726.6666259765625
1777759909.1348426,37359,1731.0
1777759928.766952,40363,1700.0
1777759947.9936187,43308,1622.727294921875
1777759960.4888918,45225,1563.3333740234375
1777759984.2393708,48797,1548.800048828125
1777759996.9789684,50732,1603.076904296875
1777760020.6492548,54330,1575.7142333984375
1777760042.2655652,57605,1568.965576171875
1777760051.6084776,59017,1571.3333740234375
1777760068.9503646,61635,1552.5
1777760089.7403338,64774,1552.727294921875
1777760093.6889985,65369,1514.11767578125
1777760114.628592,68494,1459.4444580078125
1777760137.3836322,71939,1434.0540771484375
1777760158.1679118,75042,1424.73681640625
1777760174.4895988,77470,1473.0
1777760199.3626163,81166,1482.43896484375
1777760211.2015042,82924,1456.6666259765625
1777760227.1545107,85279,1485.9090576171875
1777760239.5963638,87133,1467.111083984375
1777760252.2812114,89012,1480.8695068359375
1777760272.583526,92000,1445.4166259765625
1777760290.5724409,94690,1461.2244873046875
1777760306.906839,97097,1462.4000244140625
1777760310.9908643,97704,1415.769287109375
1777760326.2181664,99967,1404.9056396484375
1777760341.3474874,102226,1407.4073486328125
1777760349.8462555,103481,1409.2857666015625
1777760360.4148386,105053,1407.017578125
1777760373.0994263,106922,1392.413818359375
1777760397.1925008,110443,1405.0
1777760418.927386,113641,1381.9671630859375
1777760433.6663208,115822,1378.3870849609375
1777760456.1530466,119111,1404.6875
1777760470.49541,121228,1390.4615478515625
1777760487.032206,123634,1382.1212158203125
1777760503.2519076,125990,1404.7059326171875
1777760514.686141,127656,1387.8260498046875
1777760536.942206,130898,1396.2857666015625
1777760556.8308752,133785,1408.611083984375
1777760573.0334976,136156,1417.26025390625
1777760586.1040323,138048,1425.6756591796875
1777760599.891235,140022,1438.6842041015625
1777760626.652765,143893,1441.8182373046875
1777760646.9125516,146816,1442.05126953125
1777760659.6224458,148647,1441.75
1777760682.8422759,151971,1425.9259033203125
1777760696.0306408,153868,1411.46337890625
1777760710.4591098,155936,1419.047607421875
1777760732.6432266,159119,1432.2353515625
1777760756.9856417,162616,1428.837158203125
1777760767.211906,164088,1427.272705078125
1777760786.1551783,166792,1427.8651123046875
1777760794.489977,167994,1418.4444580078125
1777760808.3778567,169991,1407.8260498046875
1777760834.4545524,173725,1411.8280029296875
1777760851.4429421,176162,1429.574462890625
1777760864.2580798,177997,1425.625
1777760884.9934096,180950,1428.2474365234375
1777760904.734511,183768,1428.7755126953125
1777760923.4068792,186416,1426.800048828125
1777760944.6404626,189404,1426.800048828125
1777760957.1808858,191184,1414.800048828125
1777760977.477406,194044,1437.5999755859375
1777760992.2071223,196154,1428.800048828125
1777761011.8860512,198929,1432.5999755859375
1777761027.1945114,201102,1447.199951171875
1777761043.0627205,203329,1421.0
1777761055.9524438,205157,1411.5999755859375
1777761081.7321136,208748,1402.0
1777761104.2923808,211892,1499.5999755859375
1777761116.9014096,213655,1449.4000244140625
1777761128.308984,215268,1438.0
1777761140.1253958,216944,1484.800048828125
1777761164.1243384,220289,1517.0
