Wall time,Step,Value
1780023665.063709,8377,2040.0
1780023730.6954045,17716,12420.0
1780023757.0680068,20874,1820.0
1780023827.5813513,29701,1780.0
1780023876.5976908,36727,2840.0
1780023935.3067825,43016,5260.0
1780023976.086299,49239,1940.0
1780024023.2140503,57259,1840.0
1780024065.1835349,63018,2260.0
1780024106.474618,69084,2120.0
1780024172.6489263,77442,1140.0
1780024250.4539502,85463,2840.0
1780024328.3535078,93068,2400.0
1780024383.3645804,98629,1820.0
1780024446.2857533,105416,2060.0
1780024506.897049,112870,2140.0
1780024568.3551943,120841,1820.0
1780024609.8004084,126753,3240.0
1780024664.1846716,133713,2300.0
1780024704.996898,139941,4080.0
1780024745.3115363,145998,880.0
1780024788.0220785,152720,2160.0
1780024830.600339,159371,4100.0
1780024868.1641617,164474,2340.0
1780024894.511188,168370,1040.0
1780024937.2267458,175126,2080.0
1780024978.5619543,181511,3160.0
1780025017.5427165,187184,1800.0
1780025069.8475347,194713,2480.0
1780025116.2920256,201576,1360.0
1780025159.2149255,208422,1920.0
1780025199.4976282,214393,2600.0
1780025251.354857,221773,3280.0
1780025294.1944485,228580,4280.0
1780025345.5651927,235846,3520.0
1780025393.4327257,243153,1320.0
1780025447.7603111,251193,2780.0
1780025499.751605,258646,1720.0
1780025542.3385549,265349,3220.0
1780025593.1846015,272444,2420.0
1780025625.5265913,278016,1440.0
1780025664.6158562,283628,1900.0
1780025720.7195373,291462,2220.0
1780025746.0081544,295041,2380.0
1780025775.8574631,299926,1860.0
1780025816.5944166,306066,2480.0
1780025869.3171008,313804,1620.0
1780025922.085459,321579,1360.0
1780025976.4965734,329882,1620.0
1780026007.5661626,335073,4080.0
1780026037.3041415,339965,1780.0
1780026085.8511074,346475,3580.0
1780026126.825117,352659,4460.0
1780026153.4826558,356635,2180.0
1780026193.311654,362524,2740.0
1780026238.9670765,370086,1840.0
1780026290.9572752,377627,1820.0
1780026333.5356154,384216,2000.0
1780026376.8166173,391084,4640.0
1780026430.0294812,398967,1760.0
1780026482.3706236,406525,2100.0
1780026524.3404286,413078,1600.0
1780026566.0223246,419487,1160.0
1780026619.321282,427260,3820.0
1780026661.820981,433992,2300.0
1780026689.295232,438137,160.0
1780026743.2912512,446202,1800.0
1780026794.8083088,453555,2140.0
1780026846.5475001,460992,1780.0
1780026889.6259487,467891,3000.0
1780026947.2088537,475958,1460.0
1780026986.3606894,481355,2620.0
1780027002.876538,484272,1660.0
1780027044.2064087,490261,3700.0
1780027086.7153916,496966,1500.0
1780027138.8221662,504552,1620.0
1780027168.0968645,509249,1060.0
1780027219.0610452,516383,1800.0
1780027272.7603219,524378,2020.0
1780027319.4403157,532318,580.0
1780027368.8628716,539115,3100.0
1780027408.309083,544956,1500.0
1780027426.01685,548176,240.0
1780027486.2649264,555166,2340.0
1780027527.6181943,561489,1700.0
1780027568.587174,567726,1940.0
1780027622.382165,575645,1920.0
1780027669.3399894,583522,1880.0
1780027704.783277,588053,3280.0
1780027746.7755773,594526,1940.0
1780027794.502511,601709,1340.0
1780027844.319327,608500,1060.0
1780027890.844841,616295,820.0
1780027943.5786624,623956,1800.0
1780027997.50697,631987,1460.0
1780028048.6874845,639241,2820.0
1780028089.8902352,645441,1900.0
1780028133.3138692,652348,4100.0
1780028174.3665624,658582,1400.0
1780028200.304051,662357,2280.0
1780028243.0148017,669097,2040.0
1780028296.0568357,676779,2040.0
1780028365.7960985,687279,12580.0
1780028419.1076012,695044,2040.0
1780028462.3389943,701929,2340.0
1780028516.8226516,710143,4620.0
1780028567.2628577,716964,1700.0
1780028626.9226143,725378,2060.0
1780028667.946797,731575,3540.0
1780028714.3184063,739289,620.0
1780028765.0256314,746355,3320.0
1780028809.472647,753592,2280.0
1780028862.749553,761413,2620.0
1780028919.7331228,769555,2060.0
1780028968.855879,776236,3140.0
1780029015.501915,784116,1900.0
1780029041.0509949,787735,1880.0
1780029081.0342574,793657,3260.0
1780029134.3093405,801505,1920.0
1780029186.209451,808981,2780.0
1780029233.6261444,816967,1780.0
1780029284.8272498,824196,3120.0
1780029315.889263,829436,2120.0
1780029365.9750721,836382,1840.0
1780029418.032663,843921,1240.0
1780029463.6020222,851471,1880.0
1780029514.3654876,858581,1280.0
1780029557.6265805,865482,2000.0
1780029600.4050415,872150,620.0
1780029649.9145694,878941,1920.0
1780029690.7467563,885133,2580.0
1780029720.5059795,890023,2360.0
1780029773.0561395,897669,2200.0
1780029813.670164,903740,1540.0
1780029857.1545722,910669,2060.0
