Wall time,Step,Value
1780068545.3214364,2048,0.8359375
1780068564.668841,4096,0.86328125
1780068579.351723,6144,0.73828125
1780068594.311736,8192,1.0
1780068610.088069,10240,1.0
1780068630.3740854,12288,0.9765625
1780068649.2851899,14336,0.8828125
1780068672.0626059,16384,1.0
1780068685.8606193,18432,1.0
1780068699.4329236,20480,0.921875
1780068713.1479673,22528,1.0
1780068726.7701201,24576,0.86328125
1780068742.1497984,26624,0.984375
1780068755.7336483,28672,1.0
1780068770.3872795,30720,0.96484375
1780068784.2791574,32768,1.0
1780068798.3476458,34816,1.0
1780068812.0817864,36864,1.0
1780068828.313505,38912,0.98046875
1780068842.147431,40960,1.0
1780068860.4188986,43008,1.0
1780068878.73891,45056,0.9765625
1780068893.8360145,47104,1.0
1780068907.6244998,49152,1.0
1780068921.2286687,51200,1.0
1780068934.6995573,53248,0.98046875
1780068948.2730412,55296,1.0
1780068961.915428,57344,1.0
1780068975.9889002,59392,0.98046875
1780068989.5106618,61440,1.0
1780069006.102761,63488,0.92578125
1780069026.2223656,65536,0.96484375
1780069044.6614444,67584,1.0
1780069065.4068365,69632,1.0
1780069080.1064994,71680,1.0
1780069093.9761684,73728,0.98046875
1780069107.7980504,75776,1.0
1780069121.5942588,77824,1.0
1780069135.4968734,79872,0.9921875
1780069149.234333,81920,0.98828125
1780069162.9944463,83968,1.0
1780069176.6456482,86016,1.0
1780069190.5113702,88064,1.0
1780069208.5864673,90112,1.0
1780069224.6020129,92160,0.9921875
1780069238.1151853,94208,1.0
1780069251.8255372,96256,0.99609375
1780069265.479065,98304,1.0
1780069279.3076584,100352,1.0
1780069293.0589204,102400,1.0
1780069306.6009827,104448,1.0
1780069320.1357415,106496,1.0
1780069333.7905629,108544,0.9921875
1780069347.3634014,110592,1.0
1780069362.4415846,112640,1.0
1780069376.206387,114688,0.99609375
1780069389.9834049,116736,1.0
1780069403.7640424,118784,1.0
1780069417.5590215,120832,1.0
1780069431.8844306,122880,1.0
1780069448.6206646,124928,1.0
1780069466.624353,126976,1.0
1780069481.390312,129024,0.99609375
1780069496.5333436,131072,1.0
1780069515.429494,133120,1.0
1780069533.947285,135168,1.0
1780069552.7303574,137216,1.0
1780069567.736375,139264,1.0
1780069581.5879443,141312,1.0
1780069595.32859,143360,0.99609375
1780069609.9903817,145408,1.0
1780069623.8572707,147456,1.0
1780069643.8994868,149504,1.0
1780069657.5149794,151552,1.0
1780069671.050244,153600,1.0
1780069684.637701,155648,1.0
1780069704.570954,157696,1.0
1780069721.4758592,159744,0.9921875
1780069737.6442676,161792,1.0
1780069752.9672885,163840,1.0
1780069768.3760734,165888,1.0
1780069781.9240916,167936,1.0
1780069797.1825705,169984,1.0
1780069814.14975,172032,1.0
1780069830.9491546,174080,1.0
1780069844.7154963,176128,1.0
1780069858.316846,178176,1.0
1780069872.233597,180224,1.0
1780069887.7529776,182272,0.9921875
1780069903.7478554,184320,1.0
1780069919.8127587,186368,1.0
1780069936.8972642,188416,1.0
1780069950.821998,190464,0.99609375
1780069964.3431327,192512,1.0
1780069977.9806697,194560,1.0
1780069991.591484,196608,1.0
1780070005.3296952,198656,1.0
1780070019.1558056,200704,1.0
1780070036.1375844,202752,1.0
1780070056.2253926,204800,1.0
1780070069.9799962,206848,1.0
1780070083.642643,208896,1.0
1780070098.6471832,210944,1.0
1780070112.8934472,212992,1.0
1780070126.894741,215040,1.0
1780070140.9343076,217088,1.0
1780070155.0682302,219136,1.0
1780070169.204994,221184,1.0
1780070183.220337,223232,1.0
1780070197.528665,225280,1.0
1780070211.5399842,227328,1.0
1780070225.5556438,229376,0.99609375
1780070239.7413125,231424,1.0
1780070253.7410076,233472,1.0
