Wall time,Step,Value
1780068573.813965,4910,3480.0
1780068628.0662267,12084,1720.0
1780068680.3495305,17181,1840.0
1780068720.4912121,23097,3320.0
1780068767.5728097,30357,1260.0
1780068821.3586817,37425,1900.0
1780068871.4309773,43988,800.0
1780068928.321353,51701,1800.0
1780068969.972839,57989,2100.0
1780069020.099848,64681,2080.0
1780069089.2340426,72727,2800.0
1780069131.7246242,79146,2480.0
1780069160.3136566,83545,1240.0
1780069217.8033056,90548,920.0
1780069248.9785566,95775,2140.0
1780069291.2488344,102252,2700.0
1780069326.9586616,106899,2280.0
1780069374.52045,114552,1840.0
1780069416.2644331,120822,1880.0
1780069478.1313713,128439,800.0
1780069544.6289048,135853,3040.0
1780069592.7424064,142963,3080.0
1780069653.165737,150622,2440.0
1780069712.8494942,158232,3100.0
1780069763.524505,164836,2240.0
1780069808.4731212,170975,3560.0
1780069842.5988913,175867,2120.0
1780069878.745825,180445,2600.0
1780069942.4470758,188417,2120.0
1780069998.0632706,196883,10600.0
1780070051.7719915,204154,5620.0
1780070097.3471332,210932,1400.0
1780070138.3851082,216712,4200.0
1780070181.3623245,223054,2640.0
1780070220.5112143,228279,560.0
1780070276.0421057,236200,1660.0
1780070332.6543067,244451,1540.0
1780070376.6751323,251081,2180.0
1780070421.664644,257403,3040.0
1780070461.6483755,263281,1900.0
1780070512.6403663,270383,1780.0
1780070567.4809995,278779,10060.0
1780070597.4022362,283662,1980.0
1780070651.226605,291516,3260.0
1780070726.981636,298776,3380.0
1780070789.1526272,305646,1000.0
1780070838.7143998,311628,2080.0
1780070893.2372265,318438,2640.0
1780070949.7239344,325124,2820.0
1780070987.8745658,329553,1860.0
1780071060.4988706,336702,1440.0
1780071143.506635,345142,2320.0
1780071192.175593,351391,1940.0
1780071235.0154812,357349,2460.0
1780071275.9218385,363289,1200.0
1780071328.368427,370692,1140.0
1780071370.9854908,377198,1660.0
1780071416.1488135,384449,1500.0
1780071456.59998,390216,960.0
1780071471.2073605,392519,1460.0
1780071530.9893413,401060,1680.0
1780071569.9146042,406444,1980.0
1780071622.9424033,414024,1020.0
1780071664.493959,420225,2460.0
1780071724.1565297,428761,3240.0
1780071785.654853,437297,240.0
1780071827.243244,443445,2020.0
1780071872.2910974,450477,1880.0
1780071920.029198,456434,1620.0
1780071977.066462,464043,2380.0
1780072034.8733454,471397,1480.0
1780072089.3501782,478203,2760.0
1780072145.5519474,485113,2320.0
1780072240.1438506,495438,12880.0
1780072307.330244,502560,1900.0
1780072348.4796069,507407,1380.0
1780072415.2610977,514538,1700.0
1780072457.797837,520894,2060.0
1780072486.1209836,525138,1700.0
1780072531.0227873,532277,4200.0
1780072571.9219928,538141,2860.0
1780072623.1857932,545034,1460.0
1780072680.4056149,553602,0.0
1780072752.0672483,563375,12560.0
1780072797.3526902,570456,3020.0
1780072849.8430817,576281,680.0
1780072908.9190936,583676,1160.0
1780072976.17981,591377,1700.0
1780073004.9170673,595789,2100.0
1780073057.2674546,602670,1640.0
1780073106.6924183,609808,2620.0
1780073172.1677315,617174,2200.0
1780073238.1433601,625283,1780.0
1780073293.4841547,632267,1900.0
1780073340.0087998,638897,1580.0
1780073393.8162806,646442,2840.0
1780073457.345852,654104,3820.0
1780073533.2862551,662607,800.0
1780073589.8109443,669182,1920.0
1780073630.4226508,674936,3200.0
1780073669.2357597,680217,80.0
1780073712.8475037,686855,4660.0
1780073767.8150756,694646,1360.0
1780073798.0419083,699381,2440.0
1780073841.2776792,706004,1460.0
1780073866.3809216,709345,1800.0
1780073912.426914,716489,1080.0
1780073972.3336885,724813,800.0
1780074010.7935412,729941,2900.0
1780074057.951007,737054,2960.0
1780074123.179369,744838,2080.0
1780074182.9319572,752230,1640.0
1780074234.9433208,758570,1920.0
1780074287.176166,765575,2960.0
1780074347.0721006,772493,1820.0
1780074400.459349,779655,1940.0
1780074433.2495532,784183,2300.0
1780074480.5926712,789721,4900.0
1780074512.0778983,794489,2460.0
1780074553.5885713,800397,2320.0
1780074593.052866,805281,1820.0
1780074628.460147,810984,4820.0
1780074687.8114083,819143,0.0
1780074741.1431327,826441,2120.0
1780074780.9444127,832005,1460.0
1780074837.737689,840231,0.0
1780074880.6558669,846065,1500.0
1780074930.8405805,853009,1900.0
1780074990.8153977,860477,1860.0
1780075026.0821135,865750,3840.0
1780075082.4890704,872743,3180.0
1780075129.876719,878614,560.0
1780075188.166212,886173,3540.0
1780075242.4709635,893493,1260.0
1780075295.785322,900689,2900.0
1780075354.8510983,908459,400.0
1780075395.519628,913983,3200.0
1780075439.6258554,920401,2180.0
1780075487.2122436,927506,1220.0
1780075539.5326924,934398,1500.0
1780075586.5331047,941940,1180.0
1780075638.93511,949189,1360.0
1780075684.4089854,955773,1260.0
1780075745.7934928,963578,3640.0
1780075789.2271705,969762,960.0
1780075832.2354608,976353,4320.0
1780075887.1283069,984315,1520.0
1780075954.7629344,994010,12360.0
1780075986.3610024,999239,2000.0
1780076067.2977612,1009977,12880.0
1780076112.9829173,1017159,1280.0
1780076169.5916197,1025541,1640.0
1780076223.0219488,1032965,2300.0
1780076296.9993038,1043218,11720.0
